Category,Technique,RR@1,RD@1,RP@1
natgen,humaneval_VarRenamerRN_s0,0.23170731707317074,0.08547008547008539,0.6524390243902439
natgen,humaneval_ForWhileTransformer_s0,0.20121951219512196,0.07692307692307684,0.6585365853658537
natgen,humaneval_VarRenamerNaive_s0,0.20121951219512196,0.07692307692307684,0.6585365853658537
natgen,humaneval_VarRenamerCB_s0,0.21341463414634146,0.07692307692307684,0.6585365853658537
natgen,humaneval_DeadCodeInserter_s0,0.27439024390243905,0.2478632478632478,0.5365853658536586
natgen,humaneval_OperandSwap_s0,0.20121951219512196,0.05982905982905973,0.6707317073170732
func_name,humaneval_FuncRenameCamelCase_s0,0.5365853658536586,0.7521367521367522,0.17682926829268292
func_name,humaneval_FuncRenameChangeChar_s0,0.6707317073170732,0.9401709401709402,0.042682926829268296
func_name,humaneval_FuncRenameSynonymSub_s0,0.012195121951219513,0.0,0.7134146341463414
func_name,humaneval_FuncRenameSwapChar_s0,0.2682926829268293,0.3418803418803419,0.4695121951219512
func_name,humaneval_FuncRenameCamelCase_s0,0.5365853658536586,0.7521367521367522,0.17682926829268292
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.42073170731707316,0.5897435897435898,0.2926829268292683
func_name,humaneval_FuncRenameCamelCase_s0,0.5365853658536586,0.7521367521367522,0.17682926829268292
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.42073170731707316,0.5897435897435898,0.2926829268292683
func_name,humaneval_FuncRenameChangeChar_s0,0.6707317073170732,0.9401709401709402,0.042682926829268296
format,humaneval_new_lines_s0,0.036585365853658534,0.01709401709401711,0.7012195121951219
format,humaneval_split_lines_s0,0.11585365853658537,0.11111111111111106,0.6341463414634146
format,humaneval_new_line_aftercode_s0,0.012195121951219513,0.0,0.7134146341463414
format,humaneval_new_line_afterdoc_s0,0.018292682926829267,0.008547008547008555,0.7073170731707317
format,humaneval_tab_indent_s0,0.08536585365853659,0.06837606837606829,0.6646341463414634
format,humaneval_doc2comments_s0,0.036585365853658534,0.03418803418803422,0.6890243902439024
format,humaneval_doc2comments_s0,0.036585365853658534,0.03418803418803422,0.6890243902439024
nlaugmenter,humaneval_BackTranslation_s0,0.27439024390243905,0.2649572649572649,0.524390243902439
nlaugmenter,humaneval_TenseTransformationPast_s0,0.18902439024390244,0.14529914529914528,0.6097560975609756
nlaugmenter,humaneval_ButterFingersPerturbation_s0,0.25609756097560976,0.18803418803418806,0.5792682926829268
nlaugmenter,humaneval_EnglishInflectionalVariation_s0,0.1951219512195122,0.11965811965811961,0.6280487804878049
nlaugmenter,humaneval_SynonymInsertion_s0,0.4268292682926829,0.4444444444444444,0.39634146341463417
nlaugmenter,humaneval_SwapCharactersPerturbation_s0,0.1951219512195122,0.15384615384615383,0.6036585365853658
nlaugmenter,humaneval_WhitespacePerturbation_s0,0.23170731707317074,0.15384615384615383,0.6036585365853658
nlaugmenter,humaneval_TenseTransformationFuture_s0,0.23780487804878048,0.1623931623931624,0.5975609756097561
nlaugmenter,humaneval_ChangeCharCase_s0,0.25609756097560976,0.22222222222222213,0.5548780487804879
nlaugmenter,humaneval_SynonymSubstitution_s0,0.43902439024390244,0.4786324786324786,0.3719512195121951
