Category,Technique,RR@1,RD@1,RP@1
natgen,humaneval_VarRenamerRN_s0,0.15853658536585366,0.046511627906976785,0.75
natgen,humaneval_ForWhileTransformer_s0,0.1402439024390244,0.038759689922480654,0.7560975609756098
natgen,humaneval_VarRenamerNaive_s0,0.1524390243902439,0.038759689922480654,0.7560975609756098
natgen,humaneval_VarRenamerCB_s0,0.15853658536585366,0.046511627906976785,0.75
natgen,humaneval_DeadCodeInserter_s0,0.2621951219512195,0.2093023255813954,0.6219512195121951
natgen,humaneval_OperandSwap_s0,0.13414634146341464,0.031007751937984523,0.7621951219512195
func_name,humaneval_FuncRenameCamelCase_s0,0.6036585365853658,0.7674418604651163,0.18292682926829268
func_name,humaneval_FuncRenameChangeChar_s0,0.7439024390243902,0.945736434108527,0.042682926829268296
func_name,humaneval_FuncRenameSynonymSub_s0,0.0,0.0,0.7865853658536586
func_name,humaneval_FuncRenameSwapChar_s0,0.2804878048780488,0.35658914728682173,0.5060975609756098
func_name,humaneval_FuncRenameCamelCase_s0,0.6036585365853658,0.7674418604651163,0.18292682926829268
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.4573170731707317,0.5813953488372093,0.32926829268292684
func_name,humaneval_FuncRenameCamelCase_s0,0.6036585365853658,0.7674418604651163,0.18292682926829268
func_name,humaneval_FuncRenameInflectionalVariation_s0,0.4573170731707317,0.5813953488372093,0.32926829268292684
func_name,humaneval_FuncRenameChangeChar_s0,0.7439024390243902,0.945736434108527,0.042682926829268296
format,humaneval_new_lines_s0,0.024390243902439025,0.015503875968992262,0.774390243902439
format,humaneval_split_lines_s0,0.10975609756097561,0.1240310077519381,0.6890243902439024
format,humaneval_new_line_aftercode_s0,0.0,0.0,0.7865853658536586
format,humaneval_new_line_afterdoc_s0,0.006097560975609756,0.007751937984496131,0.7804878048780488
format,humaneval_tab_indent_s0,0.07926829268292683,0.054263565891472916,0.7439024390243902
format,humaneval_doc2comments_s0,0.03048780487804878,0.038759689922480654,0.7560975609756098
format,humaneval_doc2comments_s0,0.03048780487804878,0.038759689922480654,0.7560975609756098
nlaugmenter,humaneval_BackTranslation_s0,0.23170731707317074,0.24806201550387605,0.5914634146341463
nlaugmenter,humaneval_TenseTransformationPast_s0,0.17073170731707318,0.1395348837209302,0.676829268292683
nlaugmenter,humaneval_ButterFingersPerturbation_s0,0.21951219512195122,0.186046511627907,0.6402439024390244
nlaugmenter,humaneval_EnglishInflectionalVariation_s0,0.16463414634146342,0.1317829457364341,0.6829268292682927
nlaugmenter,humaneval_SynonymInsertion_s0,0.40853658536585363,0.45736434108527135,0.4268292682926829
nlaugmenter,humaneval_SwapCharactersPerturbation_s0,0.18902439024390244,0.14728682170542634,0.6707317073170732
nlaugmenter,humaneval_WhitespacePerturbation_s0,0.21341463414634146,0.1627906976744186,0.6585365853658537
nlaugmenter,humaneval_TenseTransformationFuture_s0,0.1951219512195122,0.15503875968992248,0.6646341463414634
nlaugmenter,humaneval_ChangeCharCase_s0,0.23780487804878048,0.2093023255813954,0.6219512195121951
nlaugmenter,humaneval_SynonymSubstitution_s0,0.4451219512195122,0.5193798449612403,0.3780487804878049
